DSX_Opponent,Opponent_of_Opponent
Columbus Force SC CE 2014B Ignite,Alder FC Alder FC 2014 BU11-12 25/26
Columbus Force SC CE 2014B Ignite,Columbus Force SC CE 2014B Orange Crush
Columbus Force SC CE 2014B Ignite,Worthington United Worthington United 94 2014 Boys Red
Columbus Force SC CE 2014B Ignite,Columbus Force SC CE 2014B Sabres
Columbus Force SC CE 2014B Ignite,Worthington United WSP FC GOATs 2014 Boys
Columbus Force SC CE 2014B Ignite,Zanesville Arsenal SC Zanesville Arsenal SC 2014B
Columbus Force SC CE 2014B Ignite,Barcelona United Barcelona United Premier 14B
Columbus Force SC CE 2014B Ignite,SP Soccer Academy SP Soccer Academy 2014 Boys Blue 2
Columbus Force SC CE 2014B Ignite,Club Ohio Club Ohio East 14B Academy
Columbus Force SC CE 2014B Ignite,Grove City Kids Association GCKA 2014B
Columbus Force SC CE 2014B Ignite,Central Ohio Elite COE 2014B Sky
Columbus Force SC CE 2014B Ignite,Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U12B White
Columbus Force SC CE 2014B Ignite,Hidden Talent Academy HIDDEN TALENT B2014
Columbus Force SC CE 2014B Ignite,NASA Xtabi NASA Xtabi 2014 Storm Boys
Columbus Force SC CE 2014B Ignite,Champaign Dynamo SC Champaign Dynamo B14
Columbus Force SC CE 2014B Orange Crush,Northwest FC Northwest FC 2014B White
Columbus Force SC CE 2014B Orange Crush,Upper Arlington United UAU 2014 BU U12 GOLD
Columbus Force SC CE 2014B Orange Crush,LFC United LFC United 2014 B Premier
Columbus Force SC CE 2014B Orange Crush,Grandview FC Grandview FC Boys 2014 - 5th Grade
Columbus Force SC CE 2014B Orange Crush,Dublin United Soccer Club DUSC Volcanoes 2014 Boys
Columbus Force SC CE 2014B Orange Crush,Club Oranje Club Oranje Raptors 2014 BU12 Navy
Columbus Force SC CE 2014B Orange Crush,Dublin United Soccer Club DUSC Firehawks 2014 Boys
Columbus Force SC CE 2014B Orange Crush,Worthington United Worthington United 94 2014 Boys Black
Columbus Force SC CE 2014B Orange Crush,LFC United LFC United 2014 B Premier 2
Columbus Force SC CE 2014B Orange Crush,Johnstown FC Johnstown FC 2014 Boys
Columbus Force SC CE 2014B Orange Crush,Delaware Knights Delaware Knights 2014 BU12 Black
Columbus Force SC CE 2014B Orange Crush,Kings Hammer New Albany KHPA2 New Albany B14
Columbus Force SC CE 2014B Orange Crush,Alder FC Alder FC 2014 BU11-12 25/26
Columbus Force SC CE 2014B Orange Crush,Worthington United Worthington United 94 2014 Boys Red
Columbus Force SC CE 2014B Orange Crush,Columbus Force SC CE 2014B Sabres
Columbus Force SC CE 2014B Orange Crush,Columbus Force SC CE 2014B Ignite
Columbus Force SC CE 2014B Orange Crush,Worthington United WSP FC GOATs 2014 Boys
Columbus Force SC CE 2014B Orange Crush,Zanesville Arsenal SC Zanesville Arsenal SC 2014B
Columbus Force SC CE 2014B Orange Crush,Barcelona United Barcelona United Premier 14B
Columbus Force SC CE 2014B Orange Crush,SP Soccer Academy SP Soccer Academy 2014 Boys Blue 2
Columbus Force SC CE 2014B Orange Crush,Club Ohio Club Ohio East 14B Academy
Columbus Force SC CE 2014B Orange Crush,Grove City Kids Association GCKA 2014B
Columbus Force SC CE 2014B Orange Crush,Central Ohio Elite COE 2014B Sky
Columbus Force SC CE 2014B Orange Crush,Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U12B White
Columbus Force SC CE 2014B Orange Crush,Hidden Talent Academy HIDDEN TALENT B2014
Columbus Force SC CE 2014B Orange Crush,NASA Xtabi NASA Xtabi 2014 Storm Boys
Columbus Force SC CE 2014B Orange Crush,Champaign Dynamo SC Champaign Dynamo B14
Columbus Force SC CE 2014B Sabres,Northwest FC Northwest FC 2014B White
Columbus Force SC CE 2014B Sabres,Upper Arlington United UAU 2014 BU U12 GOLD
Columbus Force SC CE 2014B Sabres,LFC United LFC United 2014 B Premier
Columbus Force SC CE 2014B Sabres,Grandview FC Grandview FC Boys 2014 - 5th Grade
Columbus Force SC CE 2014B Sabres,Dublin United Soccer Club DUSC Volcanoes 2014 Boys
Columbus Force SC CE 2014B Sabres,Club Oranje Club Oranje Raptors 2014 BU12 Navy
Columbus Force SC CE 2014B Sabres,Dublin United Soccer Club DUSC Firehawks 2014 Boys
Columbus Force SC CE 2014B Sabres,Worthington United Worthington United 94 2014 Boys Black
Columbus Force SC CE 2014B Sabres,LFC United LFC United 2014 B Premier 2
Columbus Force SC CE 2014B Sabres,Johnstown FC Johnstown FC 2014 Boys
Columbus Force SC CE 2014B Sabres,Delaware Knights Delaware Knights 2014 BU12 Black
Columbus Force SC CE 2014B Sabres,Kings Hammer New Albany KHPA2 New Albany B14
Columbus Force SC CE 2014B Sabres,Alder FC Alder FC 2014 BU11-12 25/26
Columbus Force SC CE 2014B Sabres,Columbus Force SC CE 2014B Orange Crush
Columbus Force SC CE 2014B Sabres,Worthington United Worthington United 94 2014 Boys Red
Columbus Force SC CE 2014B Sabres,Columbus Force SC CE 2014B Ignite
Columbus Force SC CE 2014B Sabres,Worthington United WSP FC GOATs 2014 Boys
Columbus Force SC CE 2014B Sabres,Zanesville Arsenal SC Zanesville Arsenal SC 2014B
Columbus Force SC CE 2014B Sabres,Barcelona United Barcelona United Premier 14B
Columbus Force SC CE 2014B Sabres,SP Soccer Academy SP Soccer Academy 2014 Boys Blue 2
Columbus Force SC CE 2014B Sabres,Club Ohio Club Ohio East 14B Academy
Columbus Force SC CE 2014B Sabres,Grove City Kids Association GCKA 2014B
Columbus Force SC CE 2014B Sabres,Central Ohio Elite COE 2014B Sky
Columbus Force SC CE 2014B Sabres,Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U12B White
Columbus Force SC CE 2014B Sabres,Hidden Talent Academy HIDDEN TALENT B2014
Columbus Force SC CE 2014B Sabres,NASA Xtabi NASA Xtabi 2014 Storm Boys
Columbus Force SC CE 2014B Sabres,Champaign Dynamo SC Champaign Dynamo B14
Delaware Knights Delaware Knights 2014 BU12 Black,Northwest FC Northwest FC 2014B White
Delaware Knights Delaware Knights 2014 BU12 Black,Upper Arlington United UAU 2014 BU U12 GOLD
Delaware Knights Delaware Knights 2014 BU12 Black,LFC United LFC United 2014 B Premier
Delaware Knights Delaware Knights 2014 BU12 Black,Grandview FC Grandview FC Boys 2014 - 5th Grade
Delaware Knights Delaware Knights 2014 BU12 Black,Dublin United Soccer Club DUSC Volcanoes 2014 Boys
Delaware Knights Delaware Knights 2014 BU12 Black,Club Oranje Club Oranje Raptors 2014 BU12 Navy
Delaware Knights Delaware Knights 2014 BU12 Black,Dublin United Soccer Club DUSC Firehawks 2014 Boys
Delaware Knights Delaware Knights 2014 BU12 Black,Worthington United Worthington United 94 2014 Boys Black
Delaware Knights Delaware Knights 2014 BU12 Black,LFC United LFC United 2014 B Premier 2
Delaware Knights Delaware Knights 2014 BU12 Black,Johnstown FC Johnstown FC 2014 Boys
Delaware Knights Delaware Knights 2014 BU12 Black,Kings Hammer New Albany KHPA2 New Albany B14
Delaware Knights Delaware Knights 2014 BU12 Black,Alder FC Alder FC 2014 BU11-12 25/26
Delaware Knights Delaware Knights 2014 BU12 Black,Columbus Force SC CE 2014B Orange Crush
Delaware Knights Delaware Knights 2014 BU12 Black,Worthington United Worthington United 94 2014 Boys Red
Delaware Knights Delaware Knights 2014 BU12 Black,Columbus Force SC CE 2014B Sabres
Delaware Knights Delaware Knights 2014 BU12 Black,Columbus Force SC CE 2014B Ignite
Delaware Knights Delaware Knights 2014 BU12 Black,Worthington United WSP FC GOATs 2014 Boys
Delaware Knights Delaware Knights 2014 BU12 Black,Zanesville Arsenal SC Zanesville Arsenal SC 2014B
Delaware Knights Delaware Knights 2014 BU12 Black,Barcelona United Barcelona United Premier 14B
Delaware Knights Delaware Knights 2014 BU12 Black,SP Soccer Academy SP Soccer Academy 2014 Boys Blue 2
Delaware Knights Delaware Knights 2014 BU12 Black,Club Ohio Club Ohio East 14B Academy
Delaware Knights Delaware Knights 2014 BU12 Black,Grove City Kids Association GCKA 2014B
Delaware Knights Delaware Knights 2014 BU12 Black,Central Ohio Elite COE 2014B Sky
Delaware Knights Delaware Knights 2014 BU12 Black,Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U12B White
Delaware Knights Delaware Knights 2014 BU12 Black,Hidden Talent Academy HIDDEN TALENT B2014
Delaware Knights Delaware Knights 2014 BU12 Black,NASA Xtabi NASA Xtabi 2014 Storm Boys
Delaware Knights Delaware Knights 2014 BU12 Black,Champaign Dynamo SC Champaign Dynamo B14
Johnstown FC Johnstown FC 2014 Boys,Northwest FC Northwest FC 2014B White
Johnstown FC Johnstown FC 2014 Boys,Upper Arlington United UAU 2014 BU U12 GOLD
Johnstown FC Johnstown FC 2014 Boys,LFC United LFC United 2014 B Premier
Johnstown FC Johnstown FC 2014 Boys,Grandview FC Grandview FC Boys 2014 - 5th Grade
Johnstown FC Johnstown FC 2014 Boys,Dublin United Soccer Club DUSC Volcanoes 2014 Boys
Johnstown FC Johnstown FC 2014 Boys,Club Oranje Club Oranje Raptors 2014 BU12 Navy
Johnstown FC Johnstown FC 2014 Boys,Dublin United Soccer Club DUSC Firehawks 2014 Boys
Johnstown FC Johnstown FC 2014 Boys,Worthington United Worthington United 94 2014 Boys Black
Johnstown FC Johnstown FC 2014 Boys,LFC United LFC United 2014 B Premier 2
Johnstown FC Johnstown FC 2014 Boys,Delaware Knights Delaware Knights 2014 BU12 Black
Johnstown FC Johnstown FC 2014 Boys,Kings Hammer New Albany KHPA2 New Albany B14
Johnstown FC Johnstown FC 2014 Boys,Alder FC Alder FC 2014 BU11-12 25/26
Johnstown FC Johnstown FC 2014 Boys,Columbus Force SC CE 2014B Orange Crush
Johnstown FC Johnstown FC 2014 Boys,Worthington United Worthington United 94 2014 Boys Red
Johnstown FC Johnstown FC 2014 Boys,Columbus Force SC CE 2014B Sabres
Johnstown FC Johnstown FC 2014 Boys,Columbus Force SC CE 2014B Ignite
Johnstown FC Johnstown FC 2014 Boys,Worthington United WSP FC GOATs 2014 Boys
Johnstown FC Johnstown FC 2014 Boys,Zanesville Arsenal SC Zanesville Arsenal SC 2014B
Johnstown FC Johnstown FC 2014 Boys,Barcelona United Barcelona United Premier 14B
Johnstown FC Johnstown FC 2014 Boys,SP Soccer Academy SP Soccer Academy 2014 Boys Blue 2
Johnstown FC Johnstown FC 2014 Boys,Club Ohio Club Ohio East 14B Academy
Johnstown FC Johnstown FC 2014 Boys,Grove City Kids Association GCKA 2014B
Johnstown FC Johnstown FC 2014 Boys,Central Ohio Elite COE 2014B Sky
Johnstown FC Johnstown FC 2014 Boys,Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U12B White
Johnstown FC Johnstown FC 2014 Boys,Hidden Talent Academy HIDDEN TALENT B2014
Johnstown FC Johnstown FC 2014 Boys,NASA Xtabi NASA Xtabi 2014 Storm Boys
Johnstown FC Johnstown FC 2014 Boys,Champaign Dynamo SC Champaign Dynamo B14
NASA Xtabi NASA Xtabi 2014 Storm Boys,Northwest FC Northwest FC 2014B White
NASA Xtabi NASA Xtabi 2014 Storm Boys,Upper Arlington United UAU 2014 BU U12 GOLD
NASA Xtabi NASA Xtabi 2014 Storm Boys,LFC United LFC United 2014 B Premier
NASA Xtabi NASA Xtabi 2014 Storm Boys,Grandview FC Grandview FC Boys 2014 - 5th Grade
NASA Xtabi NASA Xtabi 2014 Storm Boys,Dublin United Soccer Club DUSC Volcanoes 2014 Boys
NASA Xtabi NASA Xtabi 2014 Storm Boys,Club Oranje Club Oranje Raptors 2014 BU12 Navy
NASA Xtabi NASA Xtabi 2014 Storm Boys,Dublin United Soccer Club DUSC Firehawks 2014 Boys
NASA Xtabi NASA Xtabi 2014 Storm Boys,Worthington United Worthington United 94 2014 Boys Black
NASA Xtabi NASA Xtabi 2014 Storm Boys,LFC United LFC United 2014 B Premier 2
NASA Xtabi NASA Xtabi 2014 Storm Boys,Johnstown FC Johnstown FC 2014 Boys
NASA Xtabi NASA Xtabi 2014 Storm Boys,Delaware Knights Delaware Knights 2014 BU12 Black
NASA Xtabi NASA Xtabi 2014 Storm Boys,Kings Hammer New Albany KHPA2 New Albany B14
NASA Xtabi NASA Xtabi 2014 Storm Boys,Alder FC Alder FC 2014 BU11-12 25/26
NASA Xtabi NASA Xtabi 2014 Storm Boys,Columbus Force SC CE 2014B Orange Crush
NASA Xtabi NASA Xtabi 2014 Storm Boys,Worthington United Worthington United 94 2014 Boys Red
NASA Xtabi NASA Xtabi 2014 Storm Boys,Columbus Force SC CE 2014B Sabres
NASA Xtabi NASA Xtabi 2014 Storm Boys,Columbus Force SC CE 2014B Ignite
NASA Xtabi NASA Xtabi 2014 Storm Boys,Worthington United WSP FC GOATs 2014 Boys
NASA Xtabi NASA Xtabi 2014 Storm Boys,Zanesville Arsenal SC Zanesville Arsenal SC 2014B
NASA Xtabi NASA Xtabi 2014 Storm Boys,Barcelona United Barcelona United Premier 14B
NASA Xtabi NASA Xtabi 2014 Storm Boys,SP Soccer Academy SP Soccer Academy 2014 Boys Blue 2
NASA Xtabi NASA Xtabi 2014 Storm Boys,Club Ohio Club Ohio East 14B Academy
NASA Xtabi NASA Xtabi 2014 Storm Boys,Grove City Kids Association GCKA 2014B
NASA Xtabi NASA Xtabi 2014 Storm Boys,Central Ohio Elite COE 2014B Sky
NASA Xtabi NASA Xtabi 2014 Storm Boys,Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U12B White
NASA Xtabi NASA Xtabi 2014 Storm Boys,Hidden Talent Academy HIDDEN TALENT B2014
NASA Xtabi NASA Xtabi 2014 Storm Boys,Champaign Dynamo SC Champaign Dynamo B14
Pataskala Futbol Club Extreme,Northwest FC Northwest FC 2014B White
Pataskala Futbol Club Extreme,Upper Arlington United UAU 2014 BU U12 GOLD
Pataskala Futbol Club Extreme,LFC United LFC United 2014 B Premier
Pataskala Futbol Club Extreme,Grandview FC Grandview FC Boys 2014 - 5th Grade
Pataskala Futbol Club Extreme,Dublin United Soccer Club DUSC Volcanoes 2014 Boys
Pataskala Futbol Club Extreme,Club Oranje Club Oranje Raptors 2014 BU12 Navy
Pataskala Futbol Club Extreme,Dublin United Soccer Club DUSC Firehawks 2014 Boys
Pataskala Futbol Club Extreme,Worthington United Worthington United 94 2014 Boys Black
Pataskala Futbol Club Extreme,LFC United LFC United 2014 B Premier 2
Pataskala Futbol Club Extreme,Johnstown FC Johnstown FC 2014 Boys
Pataskala Futbol Club Extreme,Delaware Knights Delaware Knights 2014 BU12 Black
Pataskala Futbol Club Extreme,Kings Hammer New Albany KHPA2 New Albany B14
Pataskala Futbol Club Extreme,Alder FC Alder FC 2014 BU11-12 25/26
Pataskala Futbol Club Extreme,Columbus Force SC CE 2014B Orange Crush
Pataskala Futbol Club Extreme,Worthington United Worthington United 94 2014 Boys Red
Pataskala Futbol Club Extreme,Columbus Force SC CE 2014B Sabres
Pataskala Futbol Club Extreme,Columbus Force SC CE 2014B Ignite
Pataskala Futbol Club Extreme,Worthington United WSP FC GOATs 2014 Boys
Pataskala Futbol Club Extreme,Zanesville Arsenal SC Zanesville Arsenal SC 2014B
Pataskala Futbol Club Extreme,Barcelona United Barcelona United Premier 14B
Pataskala Futbol Club Extreme,SP Soccer Academy SP Soccer Academy 2014 Boys Blue 2
Pataskala Futbol Club Extreme,Club Ohio Club Ohio East 14B Academy
Pataskala Futbol Club Extreme,Grove City Kids Association GCKA 2014B
Pataskala Futbol Club Extreme,Central Ohio Elite COE 2014B Sky
Pataskala Futbol Club Extreme,Hidden Talent Academy HIDDEN TALENT B2014
Pataskala Futbol Club Extreme,NASA Xtabi NASA Xtabi 2014 Storm Boys
Pataskala Futbol Club Extreme,Champaign Dynamo SC Champaign Dynamo B14
Zanesville Arsenal SC Zanesville Arsenal SC 2014B,Northwest FC Northwest FC 2014B White
Zanesville Arsenal SC Zanesville Arsenal SC 2014B,Upper Arlington United UAU 2014 BU U12 GOLD
Zanesville Arsenal SC Zanesville Arsenal SC 2014B,LFC United LFC United 2014 B Premier
Zanesville Arsenal SC Zanesville Arsenal SC 2014B,Grandview FC Grandview FC Boys 2014 - 5th Grade
Zanesville Arsenal SC Zanesville Arsenal SC 2014B,Dublin United Soccer Club DUSC Volcanoes 2014 Boys
Zanesville Arsenal SC Zanesville Arsenal SC 2014B,Club Oranje Club Oranje Raptors 2014 BU12 Navy
Zanesville Arsenal SC Zanesville Arsenal SC 2014B,Dublin United Soccer Club DUSC Firehawks 2014 Boys
Zanesville Arsenal SC Zanesville Arsenal SC 2014B,Worthington United Worthington United 94 2014 Boys Black
Zanesville Arsenal SC Zanesville Arsenal SC 2014B,LFC United LFC United 2014 B Premier 2
Zanesville Arsenal SC Zanesville Arsenal SC 2014B,Johnstown FC Johnstown FC 2014 Boys
Zanesville Arsenal SC Zanesville Arsenal SC 2014B,Delaware Knights Delaware Knights 2014 BU12 Black
Zanesville Arsenal SC Zanesville Arsenal SC 2014B,Kings Hammer New Albany KHPA2 New Albany B14
Zanesville Arsenal SC Zanesville Arsenal SC 2014B,Alder FC Alder FC 2014 BU11-12 25/26
Zanesville Arsenal SC Zanesville Arsenal SC 2014B,Columbus Force SC CE 2014B Orange Crush
Zanesville Arsenal SC Zanesville Arsenal SC 2014B,Worthington United Worthington United 94 2014 Boys Red
Zanesville Arsenal SC Zanesville Arsenal SC 2014B,Columbus Force SC CE 2014B Sabres
Zanesville Arsenal SC Zanesville Arsenal SC 2014B,Columbus Force SC CE 2014B Ignite
Zanesville Arsenal SC Zanesville Arsenal SC 2014B,Worthington United WSP FC GOATs 2014 Boys
Zanesville Arsenal SC Zanesville Arsenal SC 2014B,Barcelona United Barcelona United Premier 14B
Zanesville Arsenal SC Zanesville Arsenal SC 2014B,SP Soccer Academy SP Soccer Academy 2014 Boys Blue 2
Zanesville Arsenal SC Zanesville Arsenal SC 2014B,Club Ohio Club Ohio East 14B Academy
Zanesville Arsenal SC Zanesville Arsenal SC 2014B,Grove City Kids Association GCKA 2014B
Zanesville Arsenal SC Zanesville Arsenal SC 2014B,Central Ohio Elite COE 2014B Sky
Zanesville Arsenal SC Zanesville Arsenal SC 2014B,Pataskala Futbol Club Extreme (PFC Extreme) PFC Extreme U12B White
Zanesville Arsenal SC Zanesville Arsenal SC 2014B,Hidden Talent Academy HIDDEN TALENT B2014
Zanesville Arsenal SC Zanesville Arsenal SC 2014B,NASA Xtabi NASA Xtabi 2014 Storm Boys
Zanesville Arsenal SC Zanesville Arsenal SC 2014B,Champaign Dynamo SC Champaign Dynamo B14
Ohio Champions League Polaris SC 2014 Pre-ECNL,Ohio Champions League Club Ohio (14B) Pre-ECNL
Ohio Champions League Polaris SC 2014 Pre-ECNL,Ohio Champions League Columbus Force 14b Pre-ECNL
Ohio Champions League Polaris SC 2014 Pre-ECNL,Ohio Champions League Ohio Premier 2014 Boys Pre-ECNL
Ohio Champions League Polaris SC 2014 Pre-ECNL,Ohio Champions League Ohio Premier 2014 Boys Pre-Regional
Ohio Champions League Polaris SC 2014 Pre-ECNL,Ohio Champions League Sporting Columbus Pre-ECNL B14 II
Ohio Champions League Polaris SC 2014 Pre-ECNL,Ohio Champions League Sporting Columbus Pre-ECNL B14 I
Ohio Champions League Polaris SC 2014 Pre-ECNL,Ohio Champions League z2014 Boys
Ohio Champions League Polaris SC 2014 Pre-ECNL,Ohio Champions League KHA 2014 Boys Pre-ECNL
Ohio Champions League Polaris SC 2014 Pre-ECNL,Ohio Champions League Barcelona United Pre-ECNL14B 1
Ohio Champions League Polaris SC 2014 Pre-ECNL,Ohio Champions League Barcelona United Pre-ECNL14B 2
Ohio Champions League Polaris SC 2014 Pre-ECNL,Ohio Champions League Grasshoppers FC 2014B Pre-ECNL
Columbus Force SC Columbus Force 14B Pre-ECNL,Dublin United Soccer Club DUSC Dynamo 2013 Boys
Columbus Force SC Columbus Force 14B Pre-ECNL,LFC United LFC United 2013 B Elite 1
Columbus Force SC Columbus Force 14B Pre-ECNL,Whetstone Park Rangers Whetstone Park Rangers 2013 State
Columbus Force SC Columbus Force 14B Pre-ECNL,Central Ohio Elite COE 2013B Blue
Columbus Force SC Columbus Force 14B Pre-ECNL,Polaris Soccer Club Polaris SC 13B Navy
Columbus Force SC Columbus Force 14B Pre-ECNL,Worthington United Worthington United 94 2013 Boys Navy I
Columbus Force SC Columbus Force 14B Pre-ECNL,Ohio Premier 2013 Boys OCL
Columbus Force SC Columbus Force 14B Pre-ECNL,SP Soccer Academy SP Soccer Academy 2013 Boys Blue 1
Dublin United Soccer Club DUSC Dynamo 2013 Boys,Columbus Force SC Columbus Force 14B Pre-ECNL
Dublin United Soccer Club DUSC Dynamo 2013 Boys,LFC United LFC United 2013 B Elite 1
Dublin United Soccer Club DUSC Dynamo 2013 Boys,Whetstone Park Rangers Whetstone Park Rangers 2013 State
Dublin United Soccer Club DUSC Dynamo 2013 Boys,Central Ohio Elite COE 2013B Blue
Dublin United Soccer Club DUSC Dynamo 2013 Boys,Polaris Soccer Club Polaris SC 13B Navy
Dublin United Soccer Club DUSC Dynamo 2013 Boys,Worthington United Worthington United 94 2013 Boys Navy I
Dublin United Soccer Club DUSC Dynamo 2013 Boys,Ohio Premier 2013 Boys OCL
Dublin United Soccer Club DUSC Dynamo 2013 Boys,SP Soccer Academy SP Soccer Academy 2013 Boys Blue 1
Polaris Soccer Club Polaris SC 13B Navy,Dublin United Soccer Club DUSC Dynamo 2013 Boys
Polaris Soccer Club Polaris SC 13B Navy,Columbus Force SC Columbus Force 14B Pre-ECNL
Polaris Soccer Club Polaris SC 13B Navy,LFC United LFC United 2013 B Elite 1
Polaris Soccer Club Polaris SC 13B Navy,Whetstone Park Rangers Whetstone Park Rangers 2013 State
Polaris Soccer Club Polaris SC 13B Navy,Central Ohio Elite COE 2013B Blue
Polaris Soccer Club Polaris SC 13B Navy,Worthington United Worthington United 94 2013 Boys Navy I
Polaris Soccer Club Polaris SC 13B Navy,Ohio Premier 2013 Boys OCL
Polaris Soccer Club Polaris SC 13B Navy,SP Soccer Academy SP Soccer Academy 2013 Boys Blue 1
Columbus Force SC CE 2013B Arsenal,Dublin United Soccer Club DUSC Rocks 2013 Boys
Columbus Force SC CE 2013B Arsenal,All Out SC All Out SC 2013
Columbus Force SC CE 2013B Arsenal,Delaware Knights Delaware Knights 2013 BU13 Red
Columbus Force SC CE 2013B Arsenal,Northwest FC Northwest FC 2013B Orange
Columbus Force SC CE 2013B Arsenal,Elite FC Elite FC 2013 Boys OCL
Columbus Force SC CE 2013B Arsenal,Barcelona United Barcelona United Elite 13B
Columbus Force SC CE 2013B Arsenal,Olimpia USA Soccer Olimpia USA 2013/2014 Boys
Columbus Force SC CE 2013B Arsenal,Grove City Kids Association GCKA 2013B
Columbus Force SC CE 2013B Arsenal,Ohio Youth Academy Ohio Youth Academy Blue 2013/2014
Columbus Force SC CE 2013B Arsenal,LFC United LFC United 2013 B Elite 2
Columbus Force SC CE 2013B Arsenal,Worthington United Worthington United 94 2013 Boys Navy II
Columbus Force SC CE 2013B Arsenal,Glory SC Glory SC 2013 Fessehaye
Delaware Knights Delaware Knights 2013 BU13 Red,Dublin United Soccer Club DUSC Rocks 2013 Boys
Delaware Knights Delaware Knights 2013 BU13 Red,All Out SC All Out SC 2013
Delaware Knights Delaware Knights 2013 BU13 Red,Columbus Force SC CE 2013B Arsenal
Delaware Knights Delaware Knights 2013 BU13 Red,Northwest FC Northwest FC 2013B Orange
Delaware Knights Delaware Knights 2013 BU13 Red,Elite FC Elite FC 2013 Boys OCL
Delaware Knights Delaware Knights 2013 BU13 Red,Barcelona United Barcelona United Elite 13B
Delaware Knights Delaware Knights 2013 BU13 Red,Olimpia USA Soccer Olimpia USA 2013/2014 Boys
Delaware Knights Delaware Knights 2013 BU13 Red,Grove City Kids Association GCKA 2013B
Delaware Knights Delaware Knights 2013 BU13 Red,Ohio Youth Academy Ohio Youth Academy Blue 2013/2014
Delaware Knights Delaware Knights 2013 BU13 Red,LFC United LFC United 2013 B Elite 2
Delaware Knights Delaware Knights 2013 BU13 Red,Worthington United Worthington United 94 2013 Boys Navy II
Delaware Knights Delaware Knights 2013 BU13 Red,Glory SC Glory SC 2013 Fessehaye
Dublin United Soccer Club DUSC Rocks 2013 Boys,All Out SC All Out SC 2013
Dublin United Soccer Club DUSC Rocks 2013 Boys,Delaware Knights Delaware Knights 2013 BU13 Red
Dublin United Soccer Club DUSC Rocks 2013 Boys,Columbus Force SC CE 2013B Arsenal
Dublin United Soccer Club DUSC Rocks 2013 Boys,Northwest FC Northwest FC 2013B Orange
Dublin United Soccer Club DUSC Rocks 2013 Boys,Elite FC Elite FC 2013 Boys OCL
Dublin United Soccer Club DUSC Rocks 2013 Boys,Barcelona United Barcelona United Elite 13B
Dublin United Soccer Club DUSC Rocks 2013 Boys,Olimpia USA Soccer Olimpia USA 2013/2014 Boys
Dublin United Soccer Club DUSC Rocks 2013 Boys,Grove City Kids Association GCKA 2013B
Dublin United Soccer Club DUSC Rocks 2013 Boys,Ohio Youth Academy Ohio Youth Academy Blue 2013/2014
Dublin United Soccer Club DUSC Rocks 2013 Boys,LFC United LFC United 2013 B Elite 2
Dublin United Soccer Club DUSC Rocks 2013 Boys,Worthington United Worthington United 94 2013 Boys Navy II
Dublin United Soccer Club DUSC Rocks 2013 Boys,Glory SC Glory SC 2013 Fessehaye
Upper Arlington United UAU 2013 BU U13 GOLD,Columbus United Columbus United B'13 Foxes
Upper Arlington United UAU 2013 BU U13 GOLD,Kings Hammer New Albany KHA2 New Albany B13
Upper Arlington United UAU 2013 BU U13 GOLD,Club Ohio Club Ohio North 13B Black
Upper Arlington United UAU 2013 BU U13 GOLD,Whetstone Park Rangers Whetstone Park Rangers 2013 Columbus
Upper Arlington United UAU 2013 BU U13 GOLD,Appleseed Premier Appleseed Premier 2013 Gold
Upper Arlington United UAU 2013 BU U13 GOLD,MVSA Sting MV Sting SC u13 Boys 2013
Upper Arlington United UAU 2013 BU U13 GOLD,Club Ohio Club Ohio East 13B Green 1
Upper Arlington United UAU 2013 BU U13 GOLD,Glory SC Glory SC 2013 Fessehaye
Upper Arlington United UAU 2013 BU U13 GOLD,Old Town Soccer Club OTSC 2013 boys Orange
Upper Arlington United UAU 2013 BU U13 GOLD,Pride Soccer Club Pride SC 2013 B Samba
Upper Arlington United UAU 2013 BU U13 GOLD,Grandview FC Grandview FC 2013 Boys
Upper Arlington United UAU 2013 BU U13 GOLD,Lancaster Select Soccer Association (LSSA) LSSA 2013 Boys Geil
Upper Arlington United UAU 2013 BU U13 GOLD,Barcelona United Barcelona United Elite 13B
Upper Arlington United UAU 2013 BU U13 GOLD,Barcelona United Barcelona United Premier 13B
Lancaster Select Soccer Association,Columbus United Columbus United B'13 Foxes
Lancaster Select Soccer Association,Upper Arlington United UAU 2013 BU U13 GOLD
Lancaster Select Soccer Association,Kings Hammer New Albany KHA2 New Albany B13
Lancaster Select Soccer Association,Club Ohio Club Ohio North 13B Black
Lancaster Select Soccer Association,Whetstone Park Rangers Whetstone Park Rangers 2013 Columbus
Lancaster Select Soccer Association,Appleseed Premier Appleseed Premier 2013 Gold
Lancaster Select Soccer Association,MVSA Sting MV Sting SC u13 Boys 2013
Lancaster Select Soccer Association,Club Ohio Club Ohio East 13B Green 1
Lancaster Select Soccer Association,Glory SC Glory SC 2013 Fessehaye
Lancaster Select Soccer Association,Old Town Soccer Club OTSC 2013 boys Orange
Lancaster Select Soccer Association,Pride Soccer Club Pride SC 2013 B Samba
Lancaster Select Soccer Association,Grandview FC Grandview FC 2013 Boys
Lancaster Select Soccer Association,Barcelona United Barcelona United Elite 13B
Lancaster Select Soccer Association,Barcelona United Barcelona United Premier 13B
